-50,-1,42
-50,-1,41
-50,-1,41
-49,-1,41
-50,-2,42
-50,-2,42
-49,-1,41
-49,-1,41
-49,-1,42
-50,-1,42
-49,-1,42
-49,-1,42
-49,-2,42
-50,-2,42
-50,-1,42
-49,-2,42
-50,-2,43
-51,-2,41
-48,-2,40
-49,-2,41
-50,-2,42
-51,-1,41
-49,-1,41
-49,1,42
-50,0,41
-49,0,40
-49,-1,39
-49,-1,40
-51,0,41
-50,-1,41
-49,-1,41
-48,-1,41
-49,-2,42
-51,-1,43
-51,0,43
-51,1,42
-53,3,46
-57,11,45
-51,5,45
-44,6,50
-43,6,53
